1	0	1	32
2	1	1	31
3	1	2	31
4	1	3	31
5	2	3	30
6	3	3	29
7	4	3	28
8	5	3	27
9	5	4	27
10	5	5	27
11	5	6	27
12	5	7	27
13	5	8	27
14	5	9	27
15	5	10	27
16	6	10	26
17	7	10	25
18	7	11	25
19	7	12	25
20	7	13	25
21	7	14	25
22	7	15	25
23	7	16	25
24	7	17	25
25	7	18	25
26	8	18	24
27	8	19	24
28	9	19	23
29	9	20	23
30	9	21	23
